,center_x,center_y
0,156.6,4271.3
1,156.5,4257.0
2,160.0,4228.2
3,167.6,4323.9
4,160.6,4308.8
5,160.6,4296.1
6,165.7,4347.5
7,161.9,4319.2
8,161.7,4251.3
9,174.4,4374.5
10,353.8,2742.6
11,366.6,2724.7
12,349.7,2762.6
13,341.2,2780.9
14,330.1,2794.9
15,347.9,2814.5
16,334.5,2814.2
17,355.2,2885.5
18,287.0,2985.3
19,304.7,2925.5
20,304.2,2886.5
21,306.7,2847.8
22,356.2,2910.8
23,381.3,2823.2
24,366.7,2814.5
25,359.3,2873.9
26,272.2,2960.3
27,292.7,2897.6
28,387.7,2849.2
29,341.5,2839.3
30,360.6,2883.6
31,370.6,2987.7
32,287.3,3007.2
33,327.5,2841.8
34,281.2,2923.6
35,325.3,2867.1
36,346.5,2959.6
37,278.7,2941.3
38,265.6,3004.2
39,227.8,3168.0
40,373.9,3011.0
41,266.2,3035.1
42,267.5,3051.6
43,297.7,3153.0
44,239.0,3133.8
45,376.3,3167.9
46,304.1,3170.0
47,349.9,3001.2
48,220.2,3171.4
49,242.3,3122.7
50,276.4,3159.5
51,367.9,3136.7
52,366.0,3105.3
53,273.6,3032.7
54,358.4,3071.2
55,255.7,3068.4
56,223.8,3185.3
57,266.9,3127.0
58,273.7,3005.2
59,269.0,3043.9
60,359.3,3137.1
61,352.2,3176.4
62,354.6,3078.1
63,328.8,3154.3
64,280.5,3079.3
65,298.9,2998.7
66,332.4,3108.7
67,212.1,3205.9
68,333.6,3095.2
69,349.0,3019.1
70,253.3,3075.3
71,245.2,3100.1
72,340.9,3153.8
73,251.9,3085.9
74,232.3,3150.9
75,257.2,3151.0
76,366.0,3179.3
77,292.3,3052.0
78,368.5,3087.8
79,360.0,3112.3
80,386.7,3041.6
81,282.2,3271.8
82,302.4,3312.0
83,331.1,3279.5
84,215.3,3242.9
85,342.4,3283.0
86,262.4,3376.2
87,268.1,3359.7
88,380.3,3253.9
89,312.4,3337.6
90,322.5,3326.0
91,365.0,3254.0
92,349.7,3239.0
93,346.4,3317.8
94,213.3,3362.2
95,350.4,3362.0
96,386.4,3250.0
97,248.6,3288.0
98,353.9,3329.5
99,309.3,3357.9
100,208.3,3381.9
101,358.7,3241.6
102,344.5,3342.3
103,388.1,3297.9
104,213.1,3228.1
105,319.9,3332.7
106,235.5,3323.2
107,373.4,3369.8
108,349.8,3230.2
109,385.9,3228.3
110,347.1,3265.3
111,323.9,3369.5
112,357.6,3211.6
113,289.9,3308.2
114,343.7,3326.6
115,377.3,3228.1
116,334.8,3402.6
117,286.2,3352.9
118,353.9,3396.4
119,334.3,3311.0
120,336.5,3220.0
121,350.2,3304.3
122,368.2,3229.5
123,346.3,3213.8
124,276.8,3196.6
125,330.4,3345.6
126,370.0,3382.6
127,327.3,3289.6
128,367.2,3337.4
129,205.9,3363.8
130,272.2,3386.8
131,207.6,3345.4
132,353.0,3246.3
133,378.0,3235.3
134,369.4,3311.7
135,363.9,3218.1
136,323.0,3357.1
137,361.4,3264.3
138,333.2,3375.0
139,237.3,3234.9
140,322.8,3203.7
141,298.5,3349.2
142,369.0,3257.4
143,323.2,3348.3
144,387.1,3346.1
145,312.2,3310.0
146,343.4,3235.7
147,256.2,3266.3
148,248.4,3401.1
149,351.1,3470.1
150,200.3,3416.2
151,298.4,3550.6
152,277.1,3450.1
153,379.8,3556.5
154,351.8,3536.7
155,325.6,3532.5
156,291.8,3490.0
157,389.5,3509.0
158,365.8,3409.0
159,288.4,3579.9
160,313.9,3422.3
161,356.7,3406.0
162,349.9,3485.7
163,356.6,3505.5
164,316.0,3444.5
165,350.9,3478.2
166,334.6,3438.6
167,386.3,3452.3
168,266.9,3486.9
169,331.4,3511.2
170,249.2,3483.3
171,200.5,3437.9
172,282.4,3399.5
173,388.9,3500.2
174,361.2,3428.4
175,249.2,3532.7
176,379.0,3591.8
177,314.2,3399.0
178,325.3,3607.8
179,212.7,3548.3
180,365.6,3444.5
181,232.7,3429.2
182,352.0,3581.7
183,368.9,3494.7
184,257.3,3439.3
185,250.4,3549.9
186,366.1,3511.1
187,333.4,3550.7
188,379.8,3455.9
189,246.8,3510.4
190,225.7,3568.0
191,201.8,3497.0
192,356.5,3479.6
193,215.2,3531.4
194,316.8,3408.5
195,348.2,3550.1
196,322.6,3441.4
197,235.6,3448.0
198,386.9,3415.6
199,316.2,3478.3
200,370.6,3475.4
201,208.4,3507.6
202,208.4,3523.3
203,352.1,3414.6
204,349.1,3781.5
205,298.2,3714.3
206,361.2,3669.6
207,340.2,3602.7
208,271.2,3667.0
209,335.5,3771.8
210,317.9,3761.8
211,309.9,3735.5
212,374.5,3610.3
213,359.2,3728.5
214,299.5,3678.0
215,288.5,3636.7
216,366.1,3797.2
217,339.4,3655.4
218,261.2,3631.2
219,323.4,3976.4
220,349.0,3816.8
221,329.3,3809.3
222,355.4,3931.1
223,377.5,3815.7
224,337.3,3890.3
225,295.7,3964.1
226,385.1,3833.6
227,326.2,3924.4
228,351.3,3972.3
229,364.3,3863.4
230,348.3,3886.4
231,324.5,3947.6
232,334.5,3860.4
233,365.5,3845.3
234,375.1,3994.1
235,370.4,4196.7
236,319.4,4055.6
237,387.0,4025.6
238,268.2,4168.6
239,240.3,4132.6
240,278.0,4181.2
241,262.3,4068.6
242,333.8,4009.6
243,286.5,4041.8
244,363.3,4033.5
245,322.9,4074.7
246,369.3,4064.1
247,296.6,4182.6
248,389.7,4186.3
249,266.5,4124.3
250,284.6,4148.2
251,309.2,4160.0
252,261.9,4021.9
253,309.9,4110.0
254,379.7,4165.9
255,314.2,4131.2
256,321.4,4026.5
257,189.6,4175.5
258,273.4,4212.4
259,334.3,4115.5
260,276.9,4074.9
261,330.7,4186.7
262,349.3,4152.8
263,341.5,4054.7
264,240.4,4174.4
265,289.7,4113.1
266,298.4,4066.5
267,205.6,4098.5
268,351.8,4119.9
269,197.2,4105.2
270,309.0,4149.7
271,206.8,4146.4
272,343.8,4125.8
273,211.6,4228.7
274,335.3,4332.1
275,358.2,4279.9
276,218.8,4323.1
277,259.6,4395.4
278,326.7,4309.2
279,329.3,4364.5
280,335.7,4388.8
281,195.7,4364.8
282,249.0,4270.2
283,197.8,4271.6
284,346.9,4217.9
285,363.3,4342.9
286,185.0,4224.7
287,245.0,4332.3
288,242.4,4322.7
289,319.1,4275.9
